objective,eval_metric,eta,max_depth,min_child_weight,subsample,colsample_bytree,alpha,lambda,gamma,booster,tree_method,best_nrounds,test_rmse.test_rmse_mean
reg:squarederror,rmse,0.1,11,2,1,1,1,2,0,gbtree,hist,72,31.5656115308852
reg:squarederror,rmse,0.1,7,2,1,1,1,2,0,gbtree,hist,478,31.5727595341678
reg:squarederror,rmse,0.1,12,2,1,1,1,2,0,gbtree,hist,52,31.9490648601751
reg:squarederror,rmse,0.1,10,2,1,1,1,2,0,gbtree,hist,131,31.717907387935
reg:squarederror,rmse,0.1,9,2,1,1,1,2,0,gbtree,hist,130,31.9856610522246
reg:squarederror,rmse,0.1,11,2,1,1,1,2,0,gbtree,hist,79,31.2624135189372
reg:squarederror,rmse,0.1,10,3,1,1,1,2,0,gbtree,hist,114,31.5149944300057
reg:squarederror,rmse,0.1,11,3,1,1,1,2,0,gbtree,hist,69,31.12800004158
reg:squarederror,rmse,0.1,9,3,1,1,1,2,0,gbtree,hist,161,31.5042774289444
reg:squarederror,rmse,0.05,10,3,1,1,1,2,0,gbtree,hist,217,31.6257467381188
reg:squarederror,rmse,0.05,12,3,1,1,1,2,0,gbtree,hist,119,31.7719595571469
reg:squarederror,rmse,0.05,12,2,1,1,1,2,0,gbtree,hist,118,31.6163400361281
reg:squarederror,rmse,0.05,10,3,1,1,1,2,0,gbtree,hist,289,31.549328050585
reg:squarederror,rmse,0.05,9,3,1,1,1,2,0,gbtree,hist,448,31.7266226114733
reg:squarederror,rmse,0.05,8,3,1,1,1,2,0,gbtree,hist,634,31.6853311592525
reg:squarederror,rmse,0.05,9,4,1,1,1,2,0,gbtree,hist,371,31.7505290836004
reg:squarederror,rmse,0.05,10,4,1,1,1,2,0,gbtree,hist,213,31.6923747350775
reg:squarederror,rmse,0.05,8,4,1,1,1,2,0,gbtree,hist,580,31.9222524050572
reg:squarederror,rmse,0.05,9,5,1,1,1,2,0,gbtree,hist,422,31.6972313938563
reg:squarederror,rmse,0.05,10,5,1,1,1,2,0,gbtree,hist,205,31.8666378561966
reg:squarederror,rmse,0.05,8,5,1,1,1,2,0,gbtree,hist,615,31.3694286345936
reg:squarederror,rmse,0.04,9,4,1,1,1,2,0,gbtree,hist,456,31.6494033261524
reg:squarederror,rmse,0.04,8,4,1,1,1,2,0,gbtree,hist,706,31.3677040767253
reg:squarederror,rmse,0.05,9,4,1,1,1,3,0,gbtree,hist,444,31.5269855116819
reg:squarederror,rmse,0.05,10,4,1,1,1,3,0,gbtree,hist,224,31.5083248204754
reg:squarederror,rmse,0.05,8,4,1,1,1,3,0,gbtree,hist,655,31.5745013650485
reg:squarederror,rmse,0.05,9,4,1,1,1,2,0,gbtree,hist,371,31.7505290836004
reg:squarederror,rmse,0.05,9,4,1,1,1,2,0,gbtree,hist,366,31.9980580074073
reg:squarederror,rmse,0.04,9,4,1,1,1,2,0,gbtree,hist,485,31.6980155188359
reg:squarederror,rmse,0.05,9,4,1,1,1,2,0,gbtree,hist,375,32.0598157780684
reg:squarederror,rmse,0.05,9,4,1,1,1,2,0,gbtree,hist,425,31.7240866907806
reg:squarederror,rmse,0.05,9,4,1,1,1,2,0.01,gbtree,hist,438,31.7701468774173
reg:squarederror,rmse,0.05,9,4,1,1,1,2,0.05,gbtree,hist,334,32.212844873927
reg:squarederror,rmse,0.05,9,4,1,1,1,2,0.05,gbtree,hist,396,31.7297342519741
reg:squarederror,rmse,0.1,11,2,1,1,1,2,0.05,gbtree,hist,68,31.5584907077822
reg:squarederror,rmse,0.1,10,3,1,1,1,2,0.05,gbtree,hist,89,31.8496398498776
reg:squarederror,rmse,0.05,10,4,1,1,1,2,0.05,gbtree,hist,267,31.6729739936942
reg:squarederror,rmse,0.1,11,4,1,1,1,2,0.05,gbtree,hist,81,31.2947486963001
reg:squarederror,rmse,0.1,11,4,1,1,1,2,0.1,gbtree,hist,70,31.5233317206147
reg:squarederror,rmse,0.05,11,4,1,1,1,2,0.1,gbtree,hist,134,31.1946677199497
reg:squarederror,rmse,0.05,9,4,1,1,1,2,0.1,gbtree,hist,334,31.5162382122587
reg:squarederror,rmse,0.01,9,4,1,1,1,2,0.1,gbtree,hist,1802,31.6736153193738
reg:squarederror,rmse,0.01,7,4,1,1,1,2,0.1,gbtree,hist,4155,31.5973340139872
reg:squarederror,rmse,0.01,10,4,1,1,1,2,0.1,gbtree,hist,1186,31.5426528282217
reg:squarederror,rmse,0.01,10,5,1,1,1,2,0.1,gbtree,hist,1319,31.6048470915894
reg:squarederror,rmse,0.01,10,3,1,1,1,2,0.1,gbtree,hist,1316,31.6711683857234
reg:squarederror,rmse,0.01,10,3,1,0.8,1,2,0.1,gbtree,hist,867,31.4985346401376
reg:squarederror,rmse,0.01,10,3,1,0.8,1,3,0.1,gbtree,hist,885,31.7511672333903
reg:squarederror,rmse,0.01,10,3,1,0.7,1,2,0.1,gbtree,hist,1160,31.3711404585627
reg:squarederror,rmse,0.01,9,3,1,0.8,1,2,0.1,gbtree,hist,1847,31.9898791835868
reg:squarederror,rmse,0.01,10,3,1,0.8,1,2,0.1,gbtree,hist,1228,31.381389129701
reg:squarederror,rmse,0.01,10,3,1,0.8,1,2,0.1,gbtree,hist,1083,31.4918101370117
reg:squarederror,rmse,0.01,10,4,1,1,1,2,0.1,gbtree,hist,1053,31.6482096713986
reg:squarederror,rmse,0.02,10,4,1,1,1,2,0.1,gbtree,hist,619,31.6907049358076
reg:squarederror,rmse,0.01,9,4,1,1,1,2,0.1,gbtree,hist,1861,31.9951794203976
reg:squarederror,rmse,0.01,9,4,1,0.8,1,2,0.1,gbtree,hist,2065,31.5916468352491
reg:squarederror,rmse,0.01,9,4,0.9,1,1,2,0.1,gbtree,hist,1410,32.072193762871
reg:squarederror,rmse,0.01,7,4,0.9,1,1,2,0.1,gbtree,hist,2534,32.4498621865979
reg:squarederror,rmse,0.01,9,4,0.9,1,1,2,0.15,gbtree,hist,1361,32.0848980545204
reg:squarederror,rmse,0.01,9,4,0.9,1,1,2,0.3,gbtree,hist,1435,32.0797329086757
reg:squarederror,rmse,0.01,9,4,0.9,1,1,2,0.2,gbtree,hist,1361,32.0765266057487
reg:squarederror,rmse,0.01,9,4,0.9,1,1,2,0.15,gbtree,exact,1398,32.0558570128497
reg:squarederror,rmse,0.01,9,4,0.9,1,1,2,0.15,gbtree,hist,1361,32.0848980545204
reg:squarederror,rmse,0.01,10,4,0.9,1,1,2,0.15,gbtree,hist,826,31.9174357359607
reg:squarederror,rmse,0.01,8,4,0.9,1,1,2,0.15,gbtree,hist,2016,32.190917912705
reg:squarederror,rmse,0.01,10,4,0.9,1,1,2,0.15,gbtree,hist,826,31.9174357359607
reg:squarederror,rmse,0.01,8,4,0.9,1,1,2,0.15,gbtree,hist,2016,32.190917912705
reg:squarederror,rmse,0.01,9,4,0.85,1,1,2,0.15,gbtree,hist,1309,32.1321338631758
reg:squarederror,rmse,0.01,9,4,0.9,0.9,1,2,0.15,gbtree,hist,1195,32.0441966568889
reg:squarederror,rmse,0.005,9,4,0.9,1,1,2,0.15,gbtree,hist,2568,31.7660585919472
reg:squarederror,rmse,0.005,9,4,0.9,1,1,2,0.2,gbtree,hist,2510,32.1061521106124
reg:squarederror,rmse,0.005,11,4,0.9,1,1,2,0.15,gbtree,hist,1266,31.8506309332172
reg:squarederror,rmse,0.005,8,4,0.9,1,1,2,0.15,gbtree,hist,3713,32.2450675222325
reg:squarederror,rmse,0.005,9,4,0.9,1,1,2,0.15,gbtree,hist,2510,32.1011826466602
reg:squarederror,rmse,0.005,9,4,0.9,1,1,2,0.15,gbtree,hist,2368,32.3087868283796
reg:squarederror,rmse,0.005,9,4,0.9,0.8,1,2,0.15,gbtree,hist,2450,32.2278436182845
reg:squarederror,rmse,0.005,7,5,0.85,1,1.5,2,0.2,gbtree,hist,4993,32.4845868093065
reg:squarederror,rmse,0.005,10,5,0.85,1,1,2,0.2,gbtree,hist,1654,31.9443550281174
reg:squarederror,rmse,0.01,9,6,0.85,1,1.5,2,0.3,gbtree,hist,1373,32.082854062683
reg:squarederror,rmse,0.01,9,6,0.85,1,1.5,2,0.3,gbtree,hist,2165,30.5563056460604
reg:squarederror,rmse,0.05,9,10,0.85,0.9,1,2,0.3,gbtree,hist,392,30.8403979754861
reg:squarederror,rmse,0.01,9,6,0.85,1,1.5,2,0.3,gbtree,hist,1986,30.6874790722665
reg:squarederror,rmse,0.01,7,8,0.8,0.7,3,2,0.45,4779,32.7811758589949
reg:squarederror,rmse,0.01,7,8,0.8,0.7,3,2,0.45,2000,35.0542354147915
reg:squarederror,rmse,0.01,7,6,0.8,0.7,3,2,0.45,2000,34.9604825337849
reg:squarederror,rmse,0.01,7,6,0.8,0.7,3,2,0.45,2000,34.9604825337849
reg:squarederror,rmse,0.01,7,6,0.8,0.7,3,2,0.45,2000,34.9604825337849
reg:squarederror,rmse,0.01,7,6,0.8,0.7,3,2,0.45,2000,34.9604825337849
reg:squarederror,rmse,0.01,7,6,0.8,0.7,3,2,0.45,2000,34.9604825337849
reg:squarederror,rmse,0.01,7,6,0.8,0.7,3,2,0.45,2000,34.9604825337849
